N pol   	Mean    	Std     	Seed    	FracP   
1.0000	2.2001	0.5731	-8349.0000	0.0001
1.0000	1.8294	0.6363	-8935.0000	0.0001
1.0000	2.4402	0.7898	-2460.0000	0.0001
1.0000	2.6892	0.5240	-8322.0000	0.0001
1.0000	2.2415	0.9014	-6104.0000	0.0001
1.0000	2.4501	0.5626	-7566.0000	0.0001
1.0000	2.1665	0.9505	-9526.0000	0.0001
1.0000	2.2204	0.7322	-3417.0000	0.0001
1.0000	2.2884	0.6367	-1696.0000	0.0001
1.0000	2.4746	0.5946	-2383.0000	0.0001
1.0000	1.8319	0.5518	-1083.0000	0.0001
1.0000	2.4655	0.5200	-2845.0000	0.0001
1.0000	2.0941	0.5686	-7145.0000	0.0001
1.0000	2.2380	0.5839	-7949.0000	0.0001
1.0000	2.5605	0.6670	-5012.0000	0.0001
12.0000	2.0754	0.1838	-8349.0000	0.0012
12.0000	2.0893	0.1408	-8935.0000	0.0012
12.0000	2.2398	0.1451	-2460.0000	0.0012
12.0000	2.2067	0.3034	-8322.0000	0.0012
12.0000	2.2000	0.1726	-6104.0000	0.0012
12.0000	2.3620	0.1840	-7566.0000	0.0012
12.0000	2.1611	0.1261	-9526.0000	0.0012
12.0000	2.1834	0.2318	-3417.0000	0.0012
12.0000	2.2461	0.2414	-1696.0000	0.0012
12.0000	2.3237	0.1496	-2383.0000	0.0012
12.0000	2.2925	0.1579	-1083.0000	0.0012
12.0000	2.1442	0.1361	-2845.0000	0.0012
12.0000	2.3390	0.1276	-7145.0000	0.0012
12.0000	2.3382	0.1373	-7949.0000	0.0012
12.0000	2.3158	0.2439	-5012.0000	0.0012
23.0000	2.3508	0.1131	-8349.0000	0.0023
23.0000	2.3323	0.1358	-8935.0000	0.0023
23.0000	2.2396	0.1608	-2460.0000	0.0023
23.0000	2.3087	0.0986	-8322.0000	0.0023
23.0000	2.3830	0.1330	-6104.0000	0.0023
23.0000	2.1424	0.1547	-7566.0000	0.0023
23.0000	2.1911	0.1242	-9526.0000	0.0023
23.0000	2.3244	0.1461	-3417.0000	0.0023
23.0000	2.2374	0.1013	-1696.0000	0.0023
23.0000	2.2946	0.1087	-2383.0000	0.0023
23.0000	2.2504	0.1289	-1083.0000	0.0023
23.0000	2.2524	0.1506	-2845.0000	0.0023
23.0000	2.2610	0.1243	-7145.0000	0.0023
23.0000	2.2246	0.1702	-7949.0000	0.0023
23.0000	2.2849	0.1728	-5012.0000	0.0023
34.0000	2.2466	0.1351	-8349.0000	0.0034
34.0000	2.2286	0.1228	-8935.0000	0.0034
34.0000	2.2412	0.1222	-2460.0000	0.0034
34.0000	2.3117	0.0890	-8322.0000	0.0034
34.0000	2.2033	0.1397	-6104.0000	0.0034
34.0000	2.2013	0.0921	-7566.0000	0.0034
34.0000	2.2528	0.1154	-9526.0000	0.0034
34.0000	2.2164	0.1048	-3417.0000	0.0034
34.0000	2.2661	0.1753	-1696.0000	0.0034
34.0000	2.2787	0.0843	-2383.0000	0.0034
34.0000	2.1734	0.1104	-1083.0000	0.0034
34.0000	2.2292	0.0939	-2845.0000	0.0034
34.0000	2.3072	0.1095	-7145.0000	0.0034
34.0000	2.2184	0.1116	-7949.0000	0.0034
34.0000	2.2578	0.0892	-5012.0000	0.0034
45.0000	2.3192	0.0790	-8349.0000	0.0044
45.0000	2.2445	0.0853	-8935.0000	0.0044
45.0000	2.2257	0.1018	-2460.0000	0.0044
45.0000	2.2473	0.1392	-8322.0000	0.0044
45.0000	2.2943	0.0824	-6104.0000	0.0044
45.0000	2.2459	0.0770	-7566.0000	0.0044
45.0000	2.2785	0.0730	-9526.0000	0.0044
45.0000	2.2771	0.0769	-3417.0000	0.0044
45.0000	2.2586	0.1519	-1696.0000	0.0044
45.0000	2.2150	0.1300	-2383.0000	0.0044
45.0000	2.2937	0.0955	-1083.0000	0.0044
45.0000	2.2813	0.1081	-2845.0000	0.0044
45.0000	2.2058	0.1226	-7145.0000	0.0044
45.0000	2.2202	0.0897	-7949.0000	0.0044
45.0000	2.2714	0.1166	-5012.0000	0.0044
56.0000	2.2417	0.1045	-8349.0000	0.0055
56.0000	2.3087	0.0988	-8935.0000	0.0055
56.0000	2.3065	0.1162	-2460.0000	0.0055
56.0000	2.2751	0.0754	-8322.0000	0.0055
56.0000	2.2099	0.0806	-6104.0000	0.0055
56.0000	2.2374	0.0645	-7566.0000	0.0055
56.0000	2.2672	0.0792	-9526.0000	0.0055
56.0000	2.2922	0.1060	-3417.0000	0.0055
56.0000	2.2425	0.0774	-1696.0000	0.0055
56.0000	2.2820	0.0998	-2383.0000	0.0055
56.0000	2.2099	0.1010	-1083.0000	0.0055
56.0000	2.3299	0.0741	-2845.0000	0.0055
56.0000	2.2729	0.0789	-7145.0000	0.0055
56.0000	2.2794	0.0790	-7949.0000	0.0055
56.0000	2.1718	0.0790	-5012.0000	0.0055
67.0000	2.2752	0.0878	-8349.0000	0.0066
67.0000	2.2806	0.0590	-8935.0000	0.0066
67.0000	2.2436	0.0924	-2460.0000	0.0066
67.0000	2.2379	0.0713	-8322.0000	0.0066
67.0000	2.2731	0.0700	-6104.0000	0.0066
67.0000	2.2927	0.1081	-7566.0000	0.0066
67.0000	2.2498	0.0708	-9526.0000	0.0066
67.0000	2.2760	0.0736	-3417.0000	0.0066
67.0000	2.2286	0.0661	-1696.0000	0.0066
67.0000	2.2740	0.0788	-2383.0000	0.0066
67.0000	2.2498	0.1013	-1083.0000	0.0066
67.0000	2.2040	0.0552	-2845.0000	0.0066
67.0000	2.2274	0.0855	-7145.0000	0.0066
67.0000	2.2685	0.0764	-7949.0000	0.0066
67.0000	2.2599	0.0794	-5012.0000	0.0066
78.0000	2.2656	0.0742	-8349.0000	0.0077
78.0000	2.2140	0.0772	-8935.0000	0.0077
78.0000	2.2774	0.0898	-2460.0000	0.0077
78.0000	2.2920	0.0679	-8322.0000	0.0077
78.0000	2.2298	0.0652	-6104.0000	0.0077
78.0000	2.2815	0.0630	-7566.0000	0.0077
