N pol   	Mean    	Std     	Seed    	FracP   
1.0000	8.2306	0.4966	-8349.0000	0.0001
1.0000	8.0001	0.7729	-8935.0000	0.0001
1.0000	7.4263	1.2748	-2460.0000	0.0001
1.0000	8.5155	0.6248	-8322.0000	0.0001
1.0000	6.9739	0.7184	-6104.0000	0.0001
1.0000	6.4733	0.6992	-7566.0000	0.0001
1.0000	8.7757	0.8396	-9526.0000	0.0001
1.0000	6.5513	0.9062	-3417.0000	0.0001
1.0000	5.5820	0.6957	-1696.0000	0.0001
1.0000	7.9348	0.8607	-2383.0000	0.0001
2.0000	7.6029	0.9828	-8349.0000	0.0002
2.0000	6.9514	0.7689	-8935.0000	0.0002
2.0000	8.2755	0.5111	-2460.0000	0.0002
2.0000	7.8758	0.6648	-8322.0000	0.0002
2.0000	6.8738	0.5833	-6104.0000	0.0002
2.0000	8.4979	0.4573	-7566.0000	0.0002
2.0000	6.7915	0.6840	-9526.0000	0.0002
2.0000	3.6823	0.8162	-3417.0000	0.0002
2.0000	6.6916	0.4001	-1696.0000	0.0002
2.0000	5.3232	0.5348	-2383.0000	0.0002
3.0000	8.3803	0.3946	-8349.0000	0.0003
3.0000	5.8061	0.3999	-8935.0000	0.0003
3.0000	3.5443	0.6154	-2460.0000	0.0003
3.0000	6.2911	0.3943	-8322.0000	0.0003
3.0000	6.4961	0.7762	-6104.0000	0.0003
3.0000	7.2361	0.4486	-7566.0000	0.0003
3.0000	8.0858	0.5184	-9526.0000	0.0003
3.0000	7.8671	0.7063	-3417.0000	0.0003
3.0000	4.1357	0.8298	-1696.0000	0.0003
3.0000	5.2872	0.5078	-2383.0000	0.0003
4.0000	7.2077	0.3800	-8349.0000	0.0004
4.0000	8.3487	0.4092	-8935.0000	0.0004
4.0000	5.5787	0.5799	-2460.0000	0.0004
4.0000	7.4678	0.3515	-8322.0000	0.0004
4.0000	7.9758	0.2345	-6104.0000	0.0004
4.0000	5.8883	0.2586	-7566.0000	0.0004
4.0000	7.2091	0.4072	-9526.0000	0.0004
4.0000	7.8877	0.5279	-3417.0000	0.0004
4.0000	5.3678	0.5359	-1696.0000	0.0004
4.0000	6.4716	0.4951	-2383.0000	0.0004
5.0000	7.2036	0.5105	-8349.0000	0.0005
5.0000	7.3930	0.2370	-8935.0000	0.0005
5.0000	7.6411	0.3174	-2460.0000	0.0005
5.0000	6.5502	0.3288	-8322.0000	0.0005
5.0000	6.4096	0.8246	-6104.0000	0.0005
5.0000	7.4167	0.8312	-7566.0000	0.0005
5.0000	7.2799	0.6166	-9526.0000	0.0005
5.0000	6.6994	0.8168	-3417.0000	0.0005
5.0000	5.8702	0.3195	-1696.0000	0.0005
5.0000	7.7730	0.2841	-2383.0000	0.0005
6.0000	6.9206	0.6075	-8349.0000	0.0006
6.0000	6.3486	0.4141	-8935.0000	0.0006
6.0000	6.2585	0.3856	-2460.0000	0.0006
6.0000	7.4999	0.5536	-8322.0000	0.0006
6.0000	6.6811	0.6399	-6104.0000	0.0006
