N pol   	Mean    	Std     	Seed    	FracP   
1.0000	9.2655	1.3321	-8349.0000	0.0001
1.0000	7.7885	0.8339	-8935.0000	0.0001
1.0000	6.8609	0.8452	-2460.0000	0.0001
1.0000	3.1280	0.8111	-8322.0000	0.0001
1.0000	8.9559	1.3150	-6104.0000	0.0001
1.0000	9.3046	0.6728	-7566.0000	0.0001
1.0000	8.7397	0.8063	-9526.0000	0.0001
1.0000	4.8385	0.8289	-3417.0000	0.0001
1.0000	5.4658	0.7648	-1696.0000	0.0001
1.0000	8.5062	0.6453	-2383.0000	0.0001
2.0000	9.1764	0.4544	-8349.0000	0.0002
2.0000	7.2642	0.5739	-8935.0000	0.0002
2.0000	7.8153	0.6810	-2460.0000	0.0002
2.0000	4.0151	0.6143	-8322.0000	0.0002
2.0000	6.8492	0.2034	-6104.0000	0.0002
2.0000	5.4137	0.4156	-7566.0000	0.0002
2.0000	7.5323	0.2829	-9526.0000	0.0002
2.0000	7.6664	0.6306	-3417.0000	0.0002
2.0000	6.5406	0.7173	-1696.0000	0.0002
2.0000	5.3181	0.9717	-2383.0000	0.0002
3.0000	9.3809	0.5067	-8349.0000	0.0003
3.0000	7.6958	0.5801	-8935.0000	0.0003
3.0000	8.2555	0.3051	-2460.0000	0.0003
3.0000	8.0036	0.4746	-8322.0000	0.0003
3.0000	6.9985	0.8057	-6104.0000	0.0003
3.0000	6.6218	0.2558	-7566.0000	0.0003
3.0000	7.0028	0.6363	-9526.0000	0.0003
3.0000	6.7200	0.6872	-3417.0000	0.0003
3.0000	7.9141	0.7976	-1696.0000	0.0003
3.0000	7.6087	0.6986	-2383.0000	0.0003
4.0000	6.1490	0.8384	-8349.0000	0.0004
4.0000	7.6712	0.4528	-8935.0000	0.0004
4.0000	8.8975	0.4849	-2460.0000	0.0004
4.0000	7.1612	0.4021	-8322.0000	0.0004
4.0000	7.0237	0.4031	-6104.0000	0.0004
4.0000	7.0219	0.2890	-7566.0000	0.0004
4.0000	7.7647	1.0563	-9526.0000	0.0004
4.0000	5.6915	0.4959	-3417.0000	0.0004
4.0000	7.2566	0.7324	-1696.0000	0.0004
4.0000	6.2816	0.4398	-2383.0000	0.0004
5.0000	6.9173	0.7962	-8349.0000	0.0005
5.0000	8.1019	0.6170	-8935.0000	0.0005
5.0000	7.2364	0.5506	-2460.0000	0.0005
5.0000	6.5154	0.3773	-8322.0000	0.0005
5.0000	7.6643	0.5524	-6104.0000	0.0005
5.0000	7.7824	0.3352	-7566.0000	0.0005
5.0000	7.3257	0.3410	-9526.0000	0.0005
5.0000	5.4385	0.4539	-3417.0000	0.0005
5.0000	7.9732	0.3573	-1696.0000	0.0005
5.0000	6.5002	0.7470	-2383.0000	0.0005
6.0000	7.1092	0.3928	-8349.0000	0.0006
6.0000	7.7623	0.2236	-8935.0000	0.0006
6.0000	6.0075	0.3350	-2460.0000	0.0006
6.0000	6.9693	0.4317	-8322.0000	0.0006
6.0000	6.9082	0.4384	-6104.0000	0.0006
6.0000	7.8358	0.2719	-7566.0000	0.0006
6.0000	6.6603	0.2992	-9526.0000	0.0006
6.0000	6.1190	0.4848	-3417.0000	0.0006
6.0000	7.6113	0.8358	-1696.0000	0.0006
6.0000	7.5807	0.2735	-2383.0000	0.0006
7.0000	7.8911	0.3712	-8349.0000	0.0007
7.0000	6.4891	0.3940	-8935.0000	0.0007
7.0000	7.3567	0.3129	-2460.0000	0.0007
7.0000	6.8204	0.4653	-8322.0000	0.0007
7.0000	7.5051	0.5351	-6104.0000	0.0007
7.0000	7.4608	0.3585	-7566.0000	0.0007
7.0000	7.8258	0.3292	-9526.0000	0.0007
7.0000	6.7995	0.4282	-3417.0000	0.0007
7.0000	7.2879	0.3690	-1696.0000	0.0007
7.0000	7.0850	0.3837	-2383.0000	0.0007
8.0000	6.9957	0.3232	-8349.0000	0.0008
8.0000	7.2345	0.5219	-8935.0000	0.0008
8.0000	7.3232	0.3932	-2460.0000	0.0008
