N pol   	Mean    	Std     	Seed    	FracP   
1.0000	3.7958	0.9623	-8349.0000	0.0001
1.0000	2.7759	0.7298	-8935.0000	0.0001
1.0000	4.8347	0.9159	-2460.0000	0.0001
1.0000	4.0563	0.7862	-8322.0000	0.0001
1.0000	3.3685	0.9660	-6104.0000	0.0001
2.0000	3.7182	0.4388	-8349.0000	0.0002
2.0000	3.4558	0.2474	-8935.0000	0.0002
2.0000	4.5252	0.4985	-2460.0000	0.0002
2.0000	3.8449	1.1440	-8322.0000	0.0002
2.0000	4.4730	0.4811	-6104.0000	0.0002
3.0000	3.0113	0.2942	-8349.0000	0.0003
3.0000	3.3492	0.4351	-8935.0000	0.0003
3.0000	3.1031	0.0811	-2460.0000	0.0003
3.0000	3.7288	0.5785	-8322.0000	0.0003
3.0000	3.8704	0.4095	-6104.0000	0.0003
4.0000	3.6141	0.3513	-8349.0000	0.0004
4.0000	3.7462	0.3252	-8935.0000	0.0004
4.0000	4.1504	0.3951	-2460.0000	0.0004
4.0000	4.2848	0.1297	-8322.0000	0.0004
4.0000	4.5091	0.2606	-6104.0000	0.0004
5.0000	4.3491	0.4582	-8349.0000	0.0005
5.0000	4.1607	0.2788	-8935.0000	0.0005
5.0000	3.0927	0.3565	-2460.0000	0.0005
5.0000	3.8897	0.2732	-8322.0000	0.0005
5.0000	3.4786	0.2870	-6104.0000	0.0005
6.0000	3.7699	0.2239	-8349.0000	0.0006
6.0000	3.7952	0.4147	-8935.0000	0.0006
6.0000	3.5954	0.5371	-2460.0000	0.0006
6.0000	3.6891	0.3370	-8322.0000	0.0006
6.0000	3.8443	0.3467	-6104.0000	0.0006
7.0000	4.0809	0.1158	-8349.0000	0.0007
7.0000	3.6675	0.2055	-8935.0000	0.0007
7.0000	3.8147	0.1934	-2460.0000	0.0007
7.0000	4.1134	0.3869	-8322.0000	0.0007
7.0000	4.1084	0.1863	-6104.0000	0.0007
8.0000	3.7099	0.4014	-8349.0000	0.0008
8.0000	3.7777	0.3121	-8935.0000	0.0008
8.0000	3.1094	0.2080	-2460.0000	0.0008
8.0000	3.7391	0.3279	-8322.0000	0.0008
8.0000	3.8330	0.2552	-6104.0000	0.0008
9.0000	3.7986	0.2124	-8349.0000	0.0009
9.0000	3.6940	0.3521	-8935.0000	0.0009
9.0000	3.0970	0.2669	-2460.0000	0.0009
9.0000	3.5899	0.5568	-8322.0000	0.0009
9.0000	3.7543	0.2766	-6104.0000	0.0009
10.0000	3.8076	0.1420	-8349.0000	0.0010
10.0000	3.8970	0.3625	-8935.0000	0.0010
10.0000	3.3572	0.1896	-2460.0000	0.0010
10.0000	3.1162	0.2938	-8322.0000	0.0010
10.0000	3.6099	0.1066	-6104.0000	0.0010
