N pol   	Mean    	Std     	Seed    	FracP   
67.0000	2.2345	0.0866	-7145.0000	0.0066
67.0000	2.2588	0.0831	-7949.0000	0.0066
67.0000	2.2621	0.0913	-5012.0000	0.0066
78.0000	2.2619	0.0744	-8349.0000	0.0077
78.0000	2.2074	0.0762	-8935.0000	0.0077
78.0000	2.2934	0.0746	-2460.0000	0.0077
78.0000	2.3040	0.0598	-8322.0000	0.0077
78.0000	2.2357	0.0693	-6104.0000	0.0077
78.0000	2.2669	0.0708	-7566.0000	0.0077
78.0000	2.2339	0.0947	-9526.0000	0.0077
78.0000	2.2275	0.0840	-3417.0000	0.0077
78.0000	2.2927	0.0439	-1696.0000	0.0077
78.0000	2.2689	0.0832	-2383.0000	0.0077
78.0000	2.2551	0.0640	-1083.0000	0.0077
78.0000	2.2687	0.0877	-2845.0000	0.0077
78.0000	2.3201	0.0627	-7145.0000	0.0077
78.0000	2.2265	0.0532	-7949.0000	0.0077
78.0000	2.2164	0.0593	-5012.0000	0.0077
89.0000	2.2869	0.0464	-8349.0000	0.0088
89.0000	2.2380	0.0806	-8935.0000	0.0088
89.0000	2.3100	0.0766	-2460.0000	0.0088
89.0000	2.2215	0.0419	-8322.0000	0.0088
89.0000	2.2356	0.0824	-6104.0000	0.0088
89.0000	2.2729	0.0815	-7566.0000	0.0088
89.0000	2.2618	0.0786	-9526.0000	0.0088
89.0000	2.2275	0.0665	-3417.0000	0.0088
89.0000	2.2641	0.0938	-1696.0000	0.0088
89.0000	2.2317	0.0527	-2383.0000	0.0088
89.0000	2.2632	0.0631	-1083.0000	0.0088
89.0000	2.2403	0.0816	-2845.0000	0.0088
89.0000	2.2200	0.0612	-7145.0000	0.0088
89.0000	2.2487	0.0916	-7949.0000	0.0088
89.0000	2.2286	0.0609	-5012.0000	0.0088
100.0000	2.2535	0.0648	-8349.0000	0.0099
100.0000	2.2393	0.0444	-8935.0000	0.0099
100.0000	2.2046	0.0479	-2460.0000	0.0099
100.0000	2.2374	0.0778	-8322.0000	0.0099
100.0000	2.2537	0.0511	-6104.0000	0.0099
100.0000	2.2766	0.0595	-7566.0000	0.0099
100.0000	2.2745	0.0699	-9526.0000	0.0099
100.0000	2.2722	0.0618	-3417.0000	0.0099
100.0000	2.2114	0.0919	-1696.0000	0.0099
100.0000	2.1915	0.0501	-2383.0000	0.0099
100.0000	2.2406	0.0623	-1083.0000	0.0099
100.0000	2.2918	0.0570	-2845.0000	0.0099
100.0000	2.2690	0.0620	-7145.0000	0.0099
100.0000	2.2694	0.0774	-7949.0000	0.0099
100.0000	2.2712	0.1014	-5012.0000	0.0099
