N pol   	Mean    	Std     	Seed    	FracP   
1.0000	3.7958	0.9623	-8349.0000	0.0001
1.0000	2.7759	0.7298	-8935.0000	0.0001
1.0000	4.8347	0.9159	-2460.0000	0.0001
1.0000	4.0563	0.7862	-8322.0000	0.0001
1.0000	3.3685	0.9660	-6104.0000	0.0001
1.0000	4.4731	0.7382	-7566.0000	0.0001
1.0000	2.5893	0.8466	-9526.0000	0.0001
1.0000	4.3773	0.6697	-3417.0000	0.0001
1.0000	3.7979	0.2245	-1696.0000	0.0001
1.0000	4.2621	0.9171	-2383.0000	0.0001
1.0000	4.5877	0.9632	-1083.0000	0.0001
1.0000	4.6742	0.6777	-2845.0000	0.0001
1.0000	4.2052	0.8229	-7145.0000	0.0001
1.0000	3.5814	0.9263	-7949.0000	0.0001
1.0000	4.6158	0.8840	-5012.0000	0.0001
1.0000	3.7003	0.4437	-3332.0000	0.0001
1.0000	4.1143	0.5466	-1694.0000	0.0001
1.0000	3.3828	0.8281	-3838.0000	0.0001
1.0000	3.8561	1.1804	-9090.0000	0.0001
1.0000	3.4770	1.0702	-9668.0000	0.0001
1.0000	3.7213	1.4203	-8075.0000	0.0001
1.0000	4.3186	0.7230	-3525.0000	0.0001
1.0000	4.0071	0.6638	-3168.0000	0.0001
1.0000	4.3485	0.5356	-7996.0000	0.0001
1.0000	3.7363	0.6789	-6218.0000	0.0001
1.0000	2.6129	0.4824	-8378.0000	0.0001
1.0000	3.0429	0.5163	-2997.0000	0.0001
1.0000	3.4749	0.8176	-5572.0000	0.0001
1.0000	4.5550	0.9378	-1419.0000	0.0001
1.0000	3.3433	0.6593	-4663.0000	0.0001
1.0000	3.9831	1.1422	-7561.0000	0.0001
1.0000	3.4131	0.5863	-6429.0000	0.0001
1.0000	3.5950	0.7559	-9764.0000	0.0001
1.0000	3.9925	0.4800	-7068.0000	0.0001
1.0000	3.5626	0.7970	-9391.0000	0.0001
1.0000	3.1527	0.8920	-4770.0000	0.0001
1.0000	4.1143	0.5466	-1694.0000	0.0001
1.0000	4.2347	0.8532	-5683.0000	0.0001
1.0000	4.2839	1.3677	-3906.0000	0.0001
1.0000	4.5055	0.3820	-8502.0000	0.0001
1.0000	4.6939	1.2359	-5695.0000	0.0001
1.0000	4.0183	0.5705	-7929.0000	0.0001
1.0000	3.9197	0.4281	-4798.0000	0.0001
1.0000	5.0767	0.1437	-9818.0000	0.0001
1.0000	3.9847	0.8290	-7579.0000	0.0001
1.0000	3.5628	0.7309	-1465.0000	0.0001
1.0000	2.0148	0.7137	-2944.0000	0.0001
1.0000	2.1667	0.3131	-2102.0000	0.0001
1.0000	3.3813	0.7366	-5319.0000	0.0001
1.0000	3.0447	1.0220	-6397.0000	0.0001
2.0000	3.7182	0.4388	-8349.0000	0.0002
2.0000	3.4558	0.2474	-8935.0000	0.0002
2.0000	4.5252	0.4985	-2460.0000	0.0002
2.0000	3.8449	1.1440	-8322.0000	0.0002
2.0000	4.4730	0.4811	-6104.0000	0.0002
2.0000	3.6605	0.4187	-7566.0000	0.0002
2.0000	2.9531	0.4317	-9526.0000	0.0002
2.0000	3.5988	0.5641	-3417.0000	0.0002
2.0000	3.2548	0.5321	-1696.0000	0.0002
2.0000	3.9075	0.4008	-2383.0000	0.0002
2.0000	2.8400	0.3355	-1083.0000	0.0002
2.0000	3.7472	0.2915	-2845.0000	0.0002
2.0000	3.4648	0.3381	-7145.0000	0.0002
2.0000	2.8719	0.6811	-7949.0000	0.0002
2.0000	2.7370	0.8792	-5012.0000	0.0002
2.0000	4.2649	0.7015	-3332.0000	0.0002
2.0000	3.0446	0.6970	-1694.0000	0.0002
2.0000	4.0815	0.3409	-3838.0000	0.0002
2.0000	4.3224	0.4726	-9090.0000	0.0002
2.0000	3.1570	0.4023	-9668.0000	0.0002
2.0000	3.2531	0.6520	-8075.0000	0.0002
2.0000	3.9785	0.5098	-3525.0000	0.0002
2.0000	4.1372	0.6323	-3168.0000	0.0002
2.0000	3.8572	0.5185	-7996.0000	0.0002
2.0000	4.2171	0.5454	-6218.0000	0.0002
2.0000	4.0848	0.1338	-8378.0000	0.0002
2.0000	4.2615	0.8286	-2997.0000	0.0002
2.0000	3.0222	0.7617	-5572.0000	0.0002
2.0000	3.3138	0.5727	-1419.0000	0.0002
2.0000	3.2001	0.3880	-4663.0000	0.0002
2.0000	4.1571	0.3545	-7561.0000	0.0002
2.0000	3.1191	0.6516	-6429.0000	0.0002
2.0000	3.2670	0.4034	-9764.0000	0.0002
2.0000	3.8244	0.4465	-7068.0000	0.0002
2.0000	4.1898	0.3032	-9391.0000	0.0002
2.0000	4.1237	0.6567	-4770.0000	0.0002
2.0000	3.0446	0.6970	-1694.0000	0.0002
2.0000	4.1876	0.5639	-5683.0000	0.0002
2.0000	4.0423	0.3680	-3906.0000	0.0002
2.0000	3.6095	1.1743	-8502.0000	0.0002
2.0000	4.0654	0.2936	-5695.0000	0.0002
2.0000	4.3716	0.5643	-7929.0000	0.0002
2.0000	3.8308	0.4851	-4798.0000	0.0002
2.0000	3.6939	0.3968	-9818.0000	0.0002
2.0000	3.8934	1.0189	-7579.0000	0.0002
2.0000	3.5092	0.3785	-1465.0000	0.0002
2.0000	4.2617	0.4087	-2944.0000	0.0002
2.0000	3.8840	0.2658	-2102.0000	0.0002
2.0000	3.1069	0.8565	-5319.0000	0.0002
2.0000	3.7717	0.6416	-6397.0000	0.0002
3.0000	3.0113	0.2942	-8349.0000	0.0003
3.0000	3.3492	0.4351	-8935.0000	0.0003
3.0000	3.1031	0.0811	-2460.0000	0.0003
3.0000	3.7288	0.5785	-8322.0000	0.0003
3.0000	3.8704	0.4095	-6104.0000	0.0003
3.0000	3.6634	0.2066	-7566.0000	0.0003
