N bead  	Mean    	Std     	Seed    	FracP   
30.0000	7.8039	0.1769	-2460.0000	0.0741
30.0000	7.8073	0.1741	-8322.0000	0.0741
30.0000	7.7395	0.1544	-6104.0000	0.0741
31.0000	7.8211	0.1510	-8349.0000	0.0741
31.0000	8.0056	0.1719	-8935.0000	0.0741
31.0000	8.0166	0.1748	-2460.0000	0.0741
31.0000	7.9994	0.1447	-8322.0000	0.0741
31.0000	8.1822	0.1493	-6104.0000	0.0741
32.0000	8.3767	0.1803	-8349.0000	0.0741
32.0000	8.2796	0.1274	-8935.0000	0.0741
32.0000	8.2220	0.1744	-2460.0000	0.0741
32.0000	8.5491	0.1745	-8322.0000	0.0741
32.0000	8.2566	0.1498	-6104.0000	0.0741
33.0000	8.8555	0.1571	-8349.0000	0.0741
33.0000	8.5981	0.1041	-8935.0000	0.0741
33.0000	8.5466	0.1422	-2460.0000	0.0741
33.0000	8.6578	0.1614	-8322.0000	0.0741
33.0000	8.5393	0.1998	-6104.0000	0.0741
34.0000	8.9509	0.1265	-8349.0000	0.0741
34.0000	8.9883	0.1523	-8935.0000	0.0741
34.0000	8.8584	0.1260	-2460.0000	0.0741
34.0000	8.9342	0.1302	-8322.0000	0.0741
34.0000	8.8970	0.1669	-6104.0000	0.0741
35.0000	9.2395	0.1177	-8349.0000	0.0741
35.0000	9.1047	0.1342	-8935.0000	0.0741
35.0000	9.0918	0.1424	-2460.0000	0.0741
35.0000	9.0927	0.1140	-8322.0000	0.0741
35.0000	9.0268	0.1089	-6104.0000	0.0741
36.0000	9.3172	0.0695	-8349.0000	0.0741
36.0000	9.3569	0.1041	-8935.0000	0.0741
36.0000	9.3942	0.0635	-2460.0000	0.0741
36.0000	9.3025	0.0992	-8322.0000	0.0741
36.0000	9.0944	0.1292	-6104.0000	0.0741
37.0000	9.6071	0.0806	-8349.0000	0.0741
37.0000	9.4447	0.1354	-8935.0000	0.0741
37.0000	9.2650	0.0636	-2460.0000	0.0741
37.0000	9.3746	0.1120	-8322.0000	0.0741
37.0000	9.6219	0.0573	-6104.0000	0.0741
38.0000	9.7476	0.0993	-8349.0000	0.0741
