N bead  	Mean    	Std     	Seed    	FracP   
21.0000	6.9171	0.1550	-2460.0000	0.0040
21.0000	6.6401	0.1528	-8322.0000	0.0040
21.0000	6.7170	0.2157	-6104.0000	0.0040
22.0000	6.6470	0.1700	-8349.0000	0.0040
22.0000	6.7505	0.2534	-8935.0000	0.0040
22.0000	7.2359	0.1454	-2460.0000	0.0040
22.0000	6.5120	0.1615	-8322.0000	0.0040
22.0000	6.7213	0.2003	-6104.0000	0.0040
23.0000	7.1942	0.1833	-8349.0000	0.0040
23.0000	6.7507	0.1770	-8935.0000	0.0040
23.0000	7.3291	0.2797	-2460.0000	0.0040
23.0000	7.2092	0.1120	-8322.0000	0.0040
23.0000	6.8940	0.2178	-6104.0000	0.0040
24.0000	7.0596	0.1157	-8349.0000	0.0040
24.0000	6.7640	0.2179	-8935.0000	0.0040
24.0000	6.2632	0.1623	-2460.0000	0.0040
24.0000	6.7869	0.3271	-8322.0000	0.0040
24.0000	7.6059	0.1021	-6104.0000	0.0040
25.0000	7.0086	0.1738	-8349.0000	0.0040
25.0000	6.8248	0.1292	-8935.0000	0.0040
25.0000	7.3861	0.1381	-2460.0000	0.0040
25.0000	6.7460	0.1108	-8322.0000	0.0040
25.0000	7.2472	0.0931	-6104.0000	0.0040
26.0000	6.7818	0.2481	-8349.0000	0.0040
26.0000	6.6497	0.1863	-8935.0000	0.0040
26.0000	6.8743	0.1261	-2460.0000	0.0040
26.0000	7.1506	0.0916	-8322.0000	0.0040
26.0000	6.7867	0.1199	-6104.0000	0.0040
27.0000	6.4756	0.1662	-8349.0000	0.0040
27.0000	6.7995	0.0516	-8935.0000	0.0040
27.0000	7.4156	0.0811	-2460.0000	0.0040
27.0000	6.6854	0.1176	-8322.0000	0.0040
27.0000	7.1822	0.1501	-6104.0000	0.0040
28.0000	7.4240	0.0870	-8349.0000	0.0040
28.0000	6.9251	0.2249	-8935.0000	0.0040
28.0000	7.1402	0.2403	-2460.0000	0.0040
28.0000	7.0258	0.1650	-8322.0000	0.0040
28.0000	6.7844	0.1013	-6104.0000	0.0040
29.0000	6.8997	0.1515	-8349.0000	0.0040
29.0000	7.3460	0.1363	-8935.0000	0.0040
