N pol   	Mean    	Std     	Seed    	FracP   
1.0000	3.7958	0.9623	-8349.0000	0.0001
1.0000	2.7759	0.7298	-8935.0000	0.0001
1.0000	4.8347	0.9159	-2460.0000	0.0001
1.0000	4.0563	0.7862	-8322.0000	0.0001
1.0000	3.3685	0.9660	-6104.0000	0.0001
2.0000	3.7182	0.4388	-8349.0000	0.0002
2.0000	3.4558	0.2474	-8935.0000	0.0002
2.0000	4.5252	0.4985	-2460.0000	0.0002
2.0000	3.8449	1.1440	-8322.0000	0.0002
2.0000	4.4730	0.4811	-6104.0000	0.0002
3.0000	3.0113	0.2942	-8349.0000	0.0003
3.0000	3.3492	0.4351	-8935.0000	0.0003
3.0000	3.1031	0.0811	-2460.0000	0.0003
3.0000	3.7288	0.5785	-8322.0000	0.0003
3.0000	3.8704	0.4095	-6104.0000	0.0003
4.0000	3.6141	0.3513	-8349.0000	0.0004
4.0000	3.7462	0.3252	-8935.0000	0.0004
4.0000	4.1504	0.3951	-2460.0000	0.0004
4.0000	4.2848	0.1297	-8322.0000	0.0004
4.0000	4.5091	0.2606	-6104.0000	0.0004
5.0000	4.3491	0.4582	-8349.0000	0.0005
5.0000	4.1607	0.2788	-8935.0000	0.0005
5.0000	3.0927	0.3565	-2460.0000	0.0005
5.0000	3.8897	0.2732	-8322.0000	0.0005
5.0000	3.4786	0.2870	-6104.0000	0.0005
6.0000	3.7699	0.2239	-8349.0000	0.0006
6.0000	3.7952	0.4147	-8935.0000	0.0006
6.0000	3.5954	0.5371	-2460.0000	0.0006
6.0000	3.6891	0.3370	-8322.0000	0.0006
6.0000	3.8443	0.3467	-6104.0000	0.0006
7.0000	4.0809	0.1158	-8349.0000	0.0007
7.0000	3.6675	0.2055	-8935.0000	0.0007
7.0000	3.8147	0.1934	-2460.0000	0.0007
7.0000	4.1134	0.3869	-8322.0000	0.0007
7.0000	4.1084	0.1863	-6104.0000	0.0007
8.0000	3.7099	0.4014	-8349.0000	0.0008
8.0000	3.7777	0.3121	-8935.0000	0.0008
8.0000	3.1094	0.2080	-2460.0000	0.0008
8.0000	3.7391	0.3279	-8322.0000	0.0008
8.0000	3.8330	0.2552	-6104.0000	0.0008
9.0000	3.7986	0.2124	-8349.0000	0.0009
9.0000	3.6940	0.3521	-8935.0000	0.0009
9.0000	3.0970	0.2669	-2460.0000	0.0009
9.0000	3.5899	0.5568	-8322.0000	0.0009
9.0000	3.7543	0.2766	-6104.0000	0.0009
10.0000	3.8076	0.1420	-8349.0000	0.0010
10.0000	3.8970	0.3625	-8935.0000	0.0010
10.0000	3.3572	0.1896	-2460.0000	0.0010
10.0000	3.1162	0.2938	-8322.0000	0.0010
10.0000	3.6099	0.1066	-6104.0000	0.0010
11.0000	3.8919	0.1668	-8349.0000	0.0011
11.0000	3.6573	0.1439	-8935.0000	0.0011
11.0000	3.9908	0.2444	-2460.0000	0.0011
11.0000	3.7814	0.2160	-8322.0000	0.0011
11.0000	3.3662	0.4893	-6104.0000	0.0011
12.0000	3.6139	0.2959	-8349.0000	0.0012
12.0000	3.8866	0.0736	-8935.0000	0.0012
12.0000	3.5289	0.3637	-2460.0000	0.0012
12.0000	3.5539	0.1707	-8322.0000	0.0012
12.0000	3.3984	0.0994	-6104.0000	0.0012
13.0000	3.5322	0.2017	-8349.0000	0.0013
13.0000	3.5653	0.1555	-8935.0000	0.0013
13.0000	4.1487	0.3592	-2460.0000	0.0013
13.0000	4.0760	0.2287	-8322.0000	0.0013
13.0000	3.6492	0.1121	-6104.0000	0.0013
14.0000	3.4233	0.1582	-8349.0000	0.0014
14.0000	3.9105	0.2112	-8935.0000	0.0014
14.0000	3.7944	0.1685	-2460.0000	0.0014
14.0000	3.8243	0.0942	-8322.0000	0.0014
14.0000	3.6270	0.0732	-6104.0000	0.0014
15.0000	3.8587	0.1132	-8349.0000	0.0015
15.0000	3.3358	0.1463	-8935.0000	0.0015
15.0000	3.4936	0.0562	-2460.0000	0.0015
15.0000	3.4911	0.1072	-8322.0000	0.0015
15.0000	3.6191	0.0571	-6104.0000	0.0015
16.0000	3.8182	0.1712	-8349.0000	0.0016
16.0000	3.6759	0.1872	-8935.0000	0.0016
16.0000	3.8178	0.2146	-2460.0000	0.0016
16.0000	3.8643	0.1342	-8322.0000	0.0016
16.0000	3.6633	0.1297	-6104.0000	0.0016
17.0000	3.7298	0.0908	-8349.0000	0.0017
17.0000	3.5981	0.1831	-8935.0000	0.0017
17.0000	3.8819	0.1778	-2460.0000	0.0017
17.0000	3.5840	0.2300	-8322.0000	0.0017
17.0000	3.4170	0.1868	-6104.0000	0.0017
18.0000	3.6546	0.2248	-8349.0000	0.0018
18.0000	4.0765	0.2135	-8935.0000	0.0018
18.0000	3.4854	0.2126	-2460.0000	0.0018
18.0000	3.7916	0.0578	-8322.0000	0.0018
18.0000	3.5503	0.2064	-6104.0000	0.0018
19.0000	4.0288	0.1533	-8349.0000	0.0019
19.0000	3.3377	0.2399	-8935.0000	0.0019
19.0000	3.6335	0.1466	-2460.0000	0.0019
19.0000	3.7598	0.2643	-8322.0000	0.0019
19.0000	3.6276	0.1453	-6104.0000	0.0019
20.0000	3.5586	0.2648	-8349.0000	0.0020
20.0000	3.7595	0.1423	-8935.0000	0.0020
20.0000	3.8699	0.2819	-2460.0000	0.0020
20.0000	3.5426	0.3457	-8322.0000	0.0020
20.0000	4.0683	0.2815	-6104.0000	0.0020
21.0000	3.7263	0.0639	-8349.0000	0.0021
21.0000	3.6387	0.1635	-8935.0000	0.0021
21.0000	3.7340	0.0450	-2460.0000	0.0021
21.0000	3.4883	0.1653	-8322.0000	0.0021
21.0000	3.7335	0.2162	-6104.0000	0.0021
22.0000	3.4907	0.2096	-8349.0000	0.0022
