N bead  	Mean    	Std     	Seed    	FracP   
30.0000	7.3724	0.1672	-2460.0000	0.0099
30.0000	7.5166	0.1326	-8322.0000	0.0099
30.0000	7.3290	0.0830	-6104.0000	0.0099
31.0000	7.6659	0.1741	-8349.0000	0.0099
31.0000	7.5982	0.1966	-8935.0000	0.0099
31.0000	7.5067	0.1325	-2460.0000	0.0099
31.0000	7.5674	0.1555	-8322.0000	0.0099
31.0000	7.9953	0.0921	-6104.0000	0.0099
32.0000	7.6940	0.1181	-8349.0000	0.0099
32.0000	7.7109	0.1470	-8935.0000	0.0099
32.0000	7.7435	0.1162	-2460.0000	0.0099
32.0000	7.8102	0.1863	-8322.0000	0.0099
32.0000	7.9075	0.1151	-6104.0000	0.0099
33.0000	7.9809	0.0962	-8349.0000	0.0099
33.0000	7.9959	0.1507	-8935.0000	0.0099
33.0000	7.6088	0.0477	-2460.0000	0.0099
33.0000	8.1897	0.0957	-8322.0000	0.0099
33.0000	8.1703	0.1537	-6104.0000	0.0099
34.0000	8.3531	0.0626	-8349.0000	0.0099
34.0000	7.9967	0.1468	-8935.0000	0.0099
34.0000	8.2819	0.0868	-2460.0000	0.0099
34.0000	8.3713	0.2360	-8322.0000	0.0099
34.0000	8.1475	0.0563	-6104.0000	0.0099
35.0000	8.5533	0.0717	-8349.0000	0.0099
35.0000	8.4397	0.1550	-8935.0000	0.0099
35.0000	8.1603	0.1253	-2460.0000	0.0099
35.0000	8.3793	0.1477	-8322.0000	0.0099
35.0000	8.2329	0.0765	-6104.0000	0.0099
36.0000	8.3645	0.1497	-8349.0000	0.0099
36.0000	8.4629	0.1081	-8935.0000	0.0099
36.0000	8.5285	0.0864	-2460.0000	0.0099
36.0000	8.6313	0.0818	-8322.0000	0.0099
36.0000	8.5124	0.1006	-6104.0000	0.0099
37.0000	8.8367	0.0640	-8349.0000	0.0099
37.0000	8.5359	0.1065	-8935.0000	0.0099
37.0000	8.7253	0.0804	-2460.0000	0.0099
37.0000	8.7235	0.1247	-8322.0000	0.0099
37.0000	8.5338	0.0841	-6104.0000	0.0099
38.0000	8.7962	0.0654	-8349.0000	0.0099
38.0000	8.8527	0.1382	-8935.0000	0.0099
38.0000	8.7797	0.1176	-2460.0000	0.0099
38.0000	8.8890	0.0648	-8322.0000	0.0099
38.0000	8.7266	0.0703	-6104.0000	0.0099
39.0000	8.9276	0.0594	-8349.0000	0.0099
39.0000	9.0659	0.0853	-8935.0000	0.0099
39.0000	8.9154	0.0667	-2460.0000	0.0099
39.0000	8.9735	0.0580	-8322.0000	0.0099
39.0000	9.0980	0.0808	-6104.0000	0.0099
